Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au;Qt.A;Affidabilita;Gf_per_90;Ass_per_90;Gs_per_90;Disciplina;Au_per_90;Indice_Rigorista
6245;D;"Dd;Dc";Vogliacco;Parma;20;5,7;5,78;2;0;0;0;0;0;0;5;0;1;4;0.5263157894736842;0.1;0.0;0.0;-0.125;0.05;0.0
358;D;"Dd;Ds;E";De Sciglio;Empoli;12;5,79;6,04;1;0;0;0;0;0;0;0;0;0;4;0.3157894736842105;0.08333333333333333;0.0;0.0;-0.0;0.0;0.0
357;D;"Dd;E";Calabria;Bologna;13;5,88;5,85;0;0;0;0;0;0;1;3;0;0;4;0.34210526315789475;0.0;0.07692307692307693;0.0;-0.11538461538461539;0.0;0.0
226;D;Dc;Izzo;Monza;28;5,75;5,68;1;0;0;0;0;0;1;12;0;0;4;0.7368421052631579;0.03571428571428571;0.03571428571428571;0.0;-0.21428571428571427;0.0;0.0
4925;D;"Ds;Dc";Carboni A.;Monza;26;5,63;5,62;0;0;0;0;0;0;2;5;0;0;4;0.6842105263157895;0.0;0.07692307692307693;0.0;-0.09615384615384616;0.0;0.0
729;D;"Dd;E";Pereira P.;Monza;33;5,64;5,65;1;0;0;0;0;0;2;10;0;0;4;0.868421052631579;0.030303030303030304;0.06060606060606061;0.0;-0.15151515151515152;0.0;0.0
5353;D;Dc;Balogh;Parma;27;5,78;5,72;0;0;0;0;0;0;1;5;0;0;4;0.7105263157894737;0.0;0.037037037037037035;0.0;-0.09259259259259259;0.0;0.0
6485;D;Dc;Kristensen T.;Udinese;21;5,57;5,6;1;0;0;0;0;0;0;5;0;0;4;0.5526315789473685;0.047619047619047616;0.0;0.0;-0.11904761904761904;0.0;0.0
1952;D;"Dd;Ds;E";Zampano;Venezia;22;5,77;5,89;1;0;0;0;0;0;2;5;0;0;4;0.5789473684210527;0.045454545454545456;0.09090909090909091;0.0;-0.11363636363636363;0.0;0.0
4493;D;Dc;Dawidowicz;Verona;25;5,56;5,38;0;0;0;0;0;0;0;7;1;0;4;0.6578947368421053;0.0;0.0;0.0;-0.26;0.0;0.0
6631;D;Dc;Ghilardi;Verona;24;5,73;5,54;0;0;0;0;0;0;0;7;1;0;4;0.631578947368421;0.0;0.0;0.0;-0.2708333333333333;0.0;0.0
4982;D;Dc;Erlic;Bologna;7;6,07;6,07;0;0;0;0;0;0;0;0;0;0;4;0.18421052631578946;0.0;0.0;0.0;-0.0;0.0;0.0
6809;D;Dc;Marianucci;Empoli;13;5,81;5,73;0;0;0;0;0;0;0;0;1;0;4;0.34210526315789475;0.0;0.0;0.0;-0.23076923076923078;0.0;0.0
6814;D;"Dd;E";Norton-Cuffy;Genoa;10;5,7;5,7;0;0;0;0;0;0;0;0;0;0;4;0.2631578947368421;0.0;0.0;0.0;-0.0;0.0;0.0
6826;D;E;Dembele' A.;Torino;9;5,67;5,89;1;0;0;0;0;0;0;0;1;0;4;0.23684210526315788;0.1111111111111111;0.0;0.0;-0.3333333333333333;0.0;0.0
6883;D;Dc;Jean;Lecce;18;5,75;5,75;0;0;0;0;0;0;0;0;0;0;4;0.47368421052631576;0.0;0.0;0.0;-0.0;0.0;0.0
6957;D;Dc;Valentini N.;Verona;14;5,61;5,43;0;0;0;0;0;0;0;3;1;0;4;0.3684210526315789;0.0;0.0;0.0;-0.32142857142857145;0.0;0.0
7018;D;Dc;Nelsson;Roma;4;6;6;0;0;0;0;0;0;0;0;0;0;4;0.10526315789473684;0.0;0.0;0.0;-0.0;0.0;0.0
695;D;Dc;Toloi;Atalanta;9;5,94;5,89;0;0;0;0;0;0;0;1;0;0;3;0.23684210526315788;0.0;0.0;0.0;-0.05555555555555555;0.0;0.0
6660;D;Dc;Marcandalli;Venezia;8;5,88;5,75;0;0;0;0;0;0;0;2;0;0;3;0.21052631578947367;0.0;0.0;0.0;-0.125;0.0;0.0
5498;D;Dc;Casale;Bologna;15;5,63;5,53;0;0;0;0;0;0;1;1;0;1;3;0.39473684210526316;0.0;0.06666666666666667;0.0;-0.03333333333333333;0.06666666666666667;0.0
6055;D;Dc;Thiaw;Milan;22;5,75;5,43;0;0;0;0;0;0;0;2;0;3;3;0.5789473684210527;0.0;0.0;0.0;-0.045454545454545456;0.13636363636363635;0.0
256;D;"Ds;Dc";Juan Jesus;Napoli;13;5,81;5,81;0;0;0;0;0;0;1;2;0;0;3;0.34210526315789475;0.0;0.07692307692307693;0.0;-0.07692307692307693;0.0;0.0
6832;D;E;Palestra;Atalanta;3;6;6;0;0;0;0;0;0;0;0;0;0;3;0.07894736842105263;0.0;0.0;0.0;-0.0;0.0;0.0
6426;D;E;Pedersen;Torino;23;5,61;5,54;0;0;0;0;0;0;0;3;0;0;3;0.6052631578947368;0.0;0.0;0.0;-0.06521739130434782;0.0;0.0
2406;D;Dc;Hummels;Roma;13;6,12;5,92;0;0;0;0;0;0;0;1;0;1;3;0.34210526315789475;0.0;0.0;0.0;-0.038461538461538464;0.07692307692307693;0.0
6916;D;"B;Ds;E";Ahanor;Genoa;6;6;6;0;0;0;0;0;0;0;0;0;0;3;0.15789473684210525;0.0;0.0;0.0;-0.0;0.0;0.0
7014;D;"B;Dd;E";Smolcic I.;Como;8;5,81;5,75;0;0;0;0;0;0;0;2;0;0;3;0.21052631578947367;0.0;0.0;0.0;-0.125;0.0;0.0
6066;D;"Dd;Dc";Posch;Atalanta;13;5,81;5,77;0;0;0;0;0;0;0;1;0;0;2;0.34210526315789475;0.0;0.0;0.0;-0.038461538461538464;0.0;0.0
6244;D;Dc;Matturro;Genoa;12;5,62;5,54;0;0;0;0;0;0;0;2;0;0;2;0.3157894736842105;0.0;0.0;0.0;-0.08333333333333333;0.0;0.0
6039;D;"B;Ds;E";Cabal;Juventus;6;6,33;6,25;0;0;0;0;0;0;0;1;0;0;2;0.15789473684210525;0.0;0.0;0.0;-0.08333333333333333;0.0;0.0
